secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,expiration,rate
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-01-31,1.273746
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-02-28,1.532797
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.603649
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-03-29,1.528951
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.6119
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-06-28,1.598183
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-09-20,1.640848
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.689408
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2020-06-19,1.718678
108105,2018-09-13,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.79588
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-09-14,0
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-09-17,0
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-09-19,0.021717
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-09-21,0
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-09-24,0.019002
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-09-26,0.08043
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-09-28,0.139271
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-01,0.24015
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-03,0.260698
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-05,0.279395
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-08,0.418413
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-10,0.686728
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-12,0.615938
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-15,0.701575
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-17,0.693171
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-19,0.62851
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-22,0.733505
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-26,0.625043
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-10-31,0.728207
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-11-02,0.69355
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-11-09,1.022276
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-11-16,1.254536
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-11-23,1.260784
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-11-30,1.402457
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-12-21,1.4639
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2018-12-31,1.27848
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-01-18,1.235985
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-01-31,1.174968
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-02-28,1.438235
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.531261
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-03-29,1.448947
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.558013
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-06-28,1.547219
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-09-20,1.592232
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.647671
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2020-06-19,1.689386
108105,2018-09-14,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.766386
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-09-17,0
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-09-19,0
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-09-21,0
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-09-24,0.934393
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-09-26,1.060862
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-09-28,1.059431
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-01,1.049375
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-03,1.012986
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-05,1.012527
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-08,1.065401
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-10,1.373213
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-12,1.239104
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-15,1.268471
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-17,1.246189
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-19,1.144435
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-22,1.242807
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-26,1.049433
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-10-31,1.102338
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-11-02,1.071766
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-11-09,1.400675
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-11-16,1.593283
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-11-23,1.559258
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-11-30,1.678147
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-12-21,1.67764
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2018-12-31,1.44416
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-01-18,1.377709
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-01-31,1.294777
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-02-28,1.54352
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.628982
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-03-29,1.543103
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.622283
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-06-28,1.609101
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-09-20,1.651842
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.699854
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2020-06-19,1.747347
108105,2018-09-17,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.818968
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-09-19,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-09-21,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-09-24,0
